,Fecha,Whatsapp,Instagram,Waze,Google maps,Teléfono,Safari,Toon blast,Redes sociales,Prod. Y finanzas,Viajes ,Creatividad,Juegos ,Tiempo total,Consultas,Notificaciones
,2022-02-21,181,19,0,9,4,0,1,200,11,9,2,1,261,328,304
,2022-02-22,156,43,0,67,5,3,2,213,19,67,2,2,348,355,402
,2022-02-23,212,93,0,4,10,3,5,312,21,4,0,5,380,256,428
,2022-02-24,145,67,55,14,1,13,19,220,8,70,1,19,372,252,379
,2022-02-25,148,71,119,2,0,2,16,226,4,121,4,16,389,205,229
,2022-02-26,127,47,31,8,1,12,4,182,6,39,0,4,280,314,485
,2022-02-27,93,49,40,1,9,12,0,163,1,55,6,0,275,260,256
,2022-02-28,54,29,15,0,6,1,3,84,1,15,22,3,156,181,85
,2022-03-01,84,44,15,0,0,3,0,143,18,19,4,0,193,122,264
,2022-03-02,183,103,0,4,0,15,45,291,12,8,3,45,410,291,424
,2022-03-03,114,55,84,2,2,0,43,178,11,86,11,43,378,234,389
,2022-03-04,154,68,17,0,0,9,43,237,10,26,9,43,359,307,321
,2022-03-05,120,70,0,3,14,3,29,197,9,4,8,29,301,315,306
,2022-03-06,112,79,10,0,2,4,30,212,6,10,4,30,314,217,266
,2022-03-07,187,65,36,1,4,8,8,253,23,40,2,8,368,314,461
,2022-03-08,189,81,10,3,1,2,0,274,13,14,0,0,327,295,406
,2022-03-09,146,128,0,0,0,7,16,282,18,0,0,16,369,218,399
,2022-03-10,183,75,83,0,0,15,2,269,6,85,2,2,407,236,489
,2022-03-11,114,70,0,0,0,2,59,190,6,0,3,59,301,308,391
,2022-03-12,122,54,54,0,3,1,16,185,29,56,1,16,337,252,262
,2022-03-13,80,47,35,0,1,2,4,133,25,37,1,4,234,195,345
,2022-03-14,167,50,34,11,1,5,12,222,30,45,2,12,342,339,562
,2022-03-15,202,70,0,4,0,2,9,277,7,6,2,9,320,283,360
,2022-03-16,170,46,0,0,0,3,10,225,18,18,6,10,300,277,463
,2022-03-17,189,47,3,0,2,3,0,240,13,3,0,0,296,230,321
,2022-03-18,90,62,2,4,1,13,8,153,21,9,6,8,263,281,269
,2022-03-19,75,73,31,0,2,0,4,157,31,33,1,4,226,194,223
