Fecha,Tiempo total,,Promedio 
2022-02-21,261,,"315,037037"
2022-02-22,348,,
2022-02-23,380,,
2022-02-24,372,,
2022-02-25,389,,
2022-02-26,280,,
2022-02-27,275,,
2022-02-28,156,,
2022-03-01,193,,
2022-03-02,410,,
2022-03-03,378,,
2022-03-04,359,,
2022-03-05,301,,
2022-03-06,314,,
2022-03-07,368,,
2022-03-08,327,,
2022-03-09,369,,
2022-03-10,407,,
2022-03-11,301,,
2022-03-12,337,,
2022-03-13,234,,
2022-03-14,342,,
2022-03-15,320,,
2022-03-16,300,,
2022-03-17,296,,
2022-03-18,263,,
2022-03-19,226,,
